,original,new
0,business002.txt,ITmlhAqCxodtl.txt
1,business003.txt,OLoBPUBsZkfQP.txt
2,business004.txt,AbTSWTsMAsMCQ.txt
3,business005.txt,zofsBFaePhUhK.txt
4,business006.txt,mBGZRecxQQjTI.txt
5,business008.txt,aAMwQAplhsOCW.txt
6,business009.txt,VgxtTwvibcLCO.txt
7,business010.txt,SZDApBzQuFlyk.txt
8,business011.txt,fGrOxVmfpBUOt.txt
9,business012.txt,uSEQEHlokYNdq.txt
10,business014.txt,ZwsCszibCsNou.txt
11,business016.txt,iLyMMlgDyadBc.txt
12,business017.txt,ZywgYUazcnrId.txt
13,business018.txt,DUOgKykKTACne.txt
14,business021.txt,hgzyOiIWjPYXO.txt
15,business022.txt,vaUJtatgoiCnE.txt
16,business023.txt,HpSLKeSWDPQih.txt
17,business024.txt,hlfaKeyzaJDSP.txt
18,business025.txt,altVqXuSAABQg.txt
19,business028.txt,PjCOlLxKmiAhY.txt
20,business029.txt,HxoIHxVXksgjl.txt
21,business030.txt,BSoASJNwjWiwF.txt
22,business032.txt,pFpjtRbffKZBQ.txt
23,business033.txt,mREFYGDKFbjDb.txt
24,business036.txt,KAtXGhCyMoznL.txt
25,business037.txt,JfNKWMdgFoaPY.txt
26,business038.txt,TVcJFJqYhaTGC.txt
27,business039.txt,knmmVEcYiYWkC.txt
28,business041.txt,DOzlAAokAzKkY.txt
29,business042.txt,jdNMoKhnxtZLt.txt
30,business043.txt,tfjcDYKgYKwDv.txt
31,business044.txt,gYvuffECJgTtd.txt
32,business045.txt,gYIENSqbkKWBS.txt
33,business047.txt,bGcuavkqsBNHE.txt
34,business048.txt,hUdmlkDBVcFda.txt
35,business049.txt,qKodsYtvDqAkk.txt
36,business050.txt,MvgmoTrVHQilq.txt
37,business052.txt,wyUAHTnYiKQmq.txt
38,business053.txt,ihssCejgSbuQW.txt
39,business054.txt,froAOkkLGRepf.txt
40,business055.txt,WuDHpLGkIMaaH.txt
41,business056.txt,cuJErUPpxqmQs.txt
42,business057.txt,xyVdLXeuSljzY.txt
43,business058.txt,dlEvtNCbyZgwI.txt
44,business059.txt,iooSYqMUgOEhb.txt
45,business060.txt,PhLWTqVLmtofA.txt
46,business061.txt,kYjRJMCwJtdDE.txt
47,business062.txt,wmFkUdNOFSDEU.txt
48,business063.txt,GosdWFRvhWCHn.txt
49,business064.txt,aECLjtAXPAJdn.txt
50,business065.txt,qXuQWPrCOXpuq.txt
51,business066.txt,SQtlIIxWueJhn.txt
52,business067.txt,yZqitdPIiYbeJ.txt
53,business069.txt,XijRYqYmWKhAA.txt
54,business070.txt,IWMCxcgAiLpLv.txt
55,business071.txt,MlBwjEwRhYhUw.txt
56,business072.txt,AiLpqajJffMjO.txt
57,business073.txt,dhUGQRdnoHDWj.txt
58,business074.txt,cELjArNVpTNBP.txt
59,business075.txt,hPKawoXWcxaaP.txt
60,business077.txt,GRMzlOFBPKhNL.txt
61,business078.txt,yYDEhwVAJjOiU.txt
62,business079.txt,nKQDLbIfyhKnk.txt
63,business080.txt,XWLwkUJHsLnUu.txt
64,business081.txt,zrwWnueoHDche.txt
65,business082.txt,yxZuouuVmzbWp.txt
66,business083.txt,RqtsyOUToRJdo.txt
67,business084.txt,poukpSMBZmjiC.txt
68,business085.txt,QSkTJytnVcZAH.txt
69,business086.txt,uGIsnOZiOOwvd.txt
70,business088.txt,WJKntScpsCPry.txt
71,business089.txt,PmGMyhBhjmWJV.txt
72,business091.txt,eQbvWVslPicnH.txt
73,business093.txt,dmhVwDbZtnCpv.txt
74,business094.txt,JIOCstNcrVXsg.txt
75,business095.txt,ZEWcxDOTvrXUe.txt
76,business096.txt,YaCHsNlWJWJch.txt
77,business097.txt,ajldbvkFaYxgh.txt
78,business098.txt,BBSKWPgVGLsUk.txt
79,entertainment_001.txt,bRBmstAFOPOmM.txt
80,entertainment_002.txt,tGotXuWlvSlzY.txt
81,entertainment_003.txt,luMKizxYApBrI.txt
82,entertainment_004.txt,JPXioqzBnuJNj.txt
83,entertainment_005.txt,VLytySXvzIbdN.txt
84,entertainment_006.txt,VzGLgrgiPXbkO.txt
85,entertainment_007.txt,LygRGOsHToCuB.txt
86,entertainment_008.txt,YEbZGrOscrpBT.txt
87,entertainment_009.txt,aBrUIzMguTfJz.txt
88,entertainment_010.txt,OTUSgCNzqxWws.txt
89,entertainment_011.txt,NQSYtABTmXtpt.txt
90,entertainment_012.txt,DbwOnrObQpFnY.txt
91,entertainment_013.txt,NLQghEJBbqeWD.txt
92,entertainment_014.txt,XQSQCZSebIieo.txt
93,entertainment_015.txt,FfdvVEvpfNqcz.txt
94,entertainment_016.txt,lrhPsFwFyYppN.txt
95,entertainment_017.txt,DRaYtPDjDjBKp.txt
96,entertainment_018.txt,BmZzaACppAXyY.txt
97,entertainment_019.txt,TUXAcuzKjUPKE.txt
98,entertainment_020.txt,dZgxLKRgEUkDN.txt
99,entertainment_021.txt,eHEgQkJVlgTQk.txt
100,entertainment_022.txt,jWxUfmVBicuUe.txt
101,entertainment_023.txt,egklmowjlaOxf.txt
102,entertainment_024.txt,jZZEAmfTdBhee.txt
103,entertainment_025.txt,CramGrWrFxigB.txt
104,entertainment_026.txt,xBTAZQDwOHhue.txt
105,entertainment_027.txt,OYclDRpMjUmQq.txt
106,entertainment_028.txt,keJTgtgBUiMdl.txt
107,entertainment_029.txt,TBPRoIBHgRtOy.txt
108,entertainment_030.txt,qipYCKnjKnflP.txt
109,entertainment_031.txt,CQwHkLpiNSnzY.txt
110,entertainment_033.txt,sKufRjhgRLUeT.txt
111,entertainment_034.txt,htjoigXPIyaWS.txt
112,entertainment_035.txt,PJZMcSHuHdwbr.txt
113,entertainment_036.txt,FFlwEaeVtRYoU.txt
114,entertainment_037.txt,NIszPJWbqeaFz.txt
115,entertainment_038.txt,AgOhhQcpecIUu.txt
116,entertainment_039.txt,KdjwfCIsQxfmr.txt
117,entertainment_040.txt,vUEInnWlaianQ.txt
118,entertainment_041.txt,NyQkdNqZVpPFK.txt
119,entertainment_042.txt,gMnEoUfYReCXx.txt
120,entertainment_043.txt,aHJEawAVXJGxq.txt
121,entertainment_044.txt,PBCNrYGAhDxIc.txt
122,entertainment_045.txt,kUXQPhYZZmGXR.txt
123,entertainment_046.txt,zotAJZcFydxYJ.txt
124,entertainment_047.txt,hdUhowPfLOzKW.txt
125,entertainment_048.txt,RUhlkIPofYaak.txt
126,entertainment_049.txt,MSvQcpqCWDXtz.txt
127,entertainment_050.txt,XEULdpcnyOjcj.txt
128,entertainment_051.txt,wNwPIZkrxIKEW.txt
129,entertainment_052.txt,fCGbHIAMntBdr.txt
130,entertainment_053.txt,IjmRhSBCmGUjP.txt
131,entertainment_054.txt,lwUwVdAmcEpeT.txt
132,entertainment_055.txt,VOJOSbfttoPCO.txt
133,entertainment_057.txt,uMitNIKsssyLo.txt
134,entertainment_058.txt,hUBHwAAsjMOcs.txt
135,entertainment_059.txt,tdgDTRkNfQMmS.txt
136,entertainment_060.txt,QOegnhTMMrTwQ.txt
137,entertainment_061.txt,mIDZQXlWUvJSR.txt
138,entertainment_062.txt,madnblPiBgSDs.txt
139,entertainment_063.txt,TUtbNqWDAjHmo.txt
140,entertainment_064.txt,wOjdNJzeTjdlP.txt
141,entertainment_065.txt,KeGqJIxRXiETw.txt
142,entertainment_066.txt,aYsbcaPtzfnrw.txt
143,entertainment_067.txt,HWGWsrQagPAur.txt
144,entertainment_068.txt,ExXjWHznCNcSJ.txt
145,entertainment_069.txt,fVzowFsKOHyMj.txt
146,entertainment_070.txt,QWGXHusWnTFxs.txt
147,entertainment_071.txt,NioEBlBEVRGMa.txt
148,entertainment_072.txt,tDwVJnBKAfmVE.txt
149,entertainment_073.txt,fAEMtXWhRGjwt.txt
150,entertainment_074.txt,GVjmAYcEuKEGk.txt
151,entertainment_075.txt,WEdyqtKduULXo.txt
152,entertainment_076.txt,VQmYLBBSUMoGC.txt
153,entertainment_077.txt,lhYfwDMvtUkVq.txt
154,entertainment_078.txt,RtWDFsWijdZKP.txt
155,entertainment_079.txt,CldOHzpobLxld.txt
156,entertainment_080.txt,skzSmWqhJXiKx.txt
157,entertainment_081.txt,NNpQnqlqNkdzE.txt
158,entertainment_082.txt,CXWqvHWByNogj.txt
159,entertainment_083.txt,EPBzZUAFqQBVn.txt
160,entertainment_084.txt,nptqxvdnCnDBT.txt
161,entertainment_085.txt,crDwGImIZgDCx.txt
162,entertainment_086.txt,NTAHBVkeSiFHZ.txt
163,entertainment_087.txt,xPDnHrfFcagZJ.txt
164,entertainment_088.txt,FaWmiwLTwhNWo.txt
165,entertainment_089.txt,CQoxmZoluedhG.txt
166,entertainment_090.txt,kMKFUZMmLmbce.txt
167,entertainment_091.txt,fYWCXPhjGelyj.txt
168,entertainment_092.txt,cWxQoiAagmxGF.txt
169,entertainment_093.txt,YWESSJSrsRdfj.txt
170,entertainment_094.txt,krFotuZzKbIcj.txt
171,entertainment_095.txt,EuLNZwLWdVqjb.txt
172,entertainment_096.txt,VtjfTCSgBqMjn.txt
173,entertainment_097.txt,lUdhfpxTpbver.txt
174,entertainment_098.txt,cMYllUGUQtsyt.txt
175,entertainment_099.txt,EfjIqjSzgBhTu.txt
176,football_001.txt,iWUIWjwELelgC.txt
177,football_002.txt,xeVVbroQRmnPP.txt
178,football_003.txt,sTgAMCIJZQrYq.txt
179,football_004.txt,AVKOfyrDaTMum.txt
180,football_005.txt,SgzjVNvrISwcX.txt
181,football_006.txt,cZbdyGmXYqwGU.txt
182,football_007.txt,aPlzAHxoFoRIO.txt
183,football_008.txt,lBtZAqYuvLWLu.txt
184,football_009.txt,TvSqjNWOZFKAJ.txt
185,football_010.txt,mhJkLOjAMWtDl.txt
186,football_011.txt,BSKrDOHiyJriE.txt
187,football_012.txt,gwZddBGeyoggr.txt
188,football_013.txt,QJRFtXbCmxVUs.txt
189,football_014.txt,TvGUHRFSdfvrC.txt
190,football_015.txt,qMMhVSHjUjGyK.txt
191,football_016.txt,pzNSngkBmnlgs.txt
192,football_017.txt,QGLRzxcSEEmMw.txt
193,football_018.txt,IKvsaBCrpPfuQ.txt
194,football_019.txt,DdWXXKeYInQEC.txt
195,football_020.txt,fmjHAQymudzUd.txt
196,football_021.txt,SKNzFqsLJCCKP.txt
197,football_022.txt,IvwWvOZthixAs.txt
198,football_023.txt,SIvCgYQnSOjrU.txt
199,football_024.txt,EPXlxWerVDIXg.txt
200,football_025.txt,ZGZYsDomHAuFb.txt
201,football_026.txt,hYkvbcFfVRakK.txt
202,football_027.txt,lLRAiSyngrsVu.txt
203,football_028.txt,bRLjsBzgAHafp.txt
204,football_029.txt,WZtXYorRoXyqO.txt
205,football_030.txt,DRKtWbgUsYoSy.txt
206,football_031.txt,TqHBoojpbQUIy.txt
207,football_032.txt,ivLcWtfFjqVWs.txt
208,football_033.txt,sLQxvYNjkKKOI.txt
209,football_034.txt,pzyeUZVcCIrFj.txt
210,football_035.txt,uWIeCBevaEVUl.txt
211,football_036.txt,vsWOrnKuNOYwT.txt
212,football_037.txt,CQCnEQnMTVEsl.txt
213,football_038.txt,apAdlLWEJcntd.txt
214,football_039.txt,qHAoPrqoRyzoL.txt
215,football_040.txt,zCajiDWpjRHCc.txt
216,football_041.txt,wBzVrpLEZweqn.txt
217,football_042.txt,hpTbvECPxacKX.txt
218,football_043.txt,qFKVhBEImHQZK.txt
219,football_044.txt,cbjpBrcPkAyxO.txt
220,football_045.txt,SKSyIxXxMUmMG.txt
221,football_046.txt,HhZUQOwaNZKAj.txt
222,football_047.txt,ieXijKRJjWJoM.txt
223,football_048.txt,RfkhnLgPvCdBq.txt
224,football_049.txt,kGBiROfHOMrJT.txt
225,football_050.txt,CXclqCFUYcpfO.txt
226,football_051.txt,tVMMFKzjfDkEF.txt
227,football_052.txt,UGTscEIbFKpJP.txt
228,football_053.txt,bocFILIyeBBGF.txt
229,football_054.txt,FDmqtfZDVEpUQ.txt
230,football_055.txt,VJfpgavqknode.txt
231,football_056.txt,DNjqBScvyMCeO.txt
232,football_057.txt,yCevDmHSigCaK.txt
233,football_058.txt,VdTcIhuyuOPCE.txt
234,football_059.txt,erEgtmglZtXoG.txt
235,football_060.txt,xhshbMSIjaVhZ.txt
236,football_061.txt,iyfXufyhwjUey.txt
237,football_062.txt,MeLuCnwSnXsom.txt
238,football_063.txt,ZoaQidjMCyeVg.txt
239,football_064.txt,MbrlQYQkiNrlx.txt
240,football_065.txt,mfppSKQxhdngk.txt
241,football_066.txt,SoKAZIwgcSGrh.txt
242,football_067.txt,jcQWyPqWstmCi.txt
243,football_068.txt,LuVOwEXoQNhNL.txt
244,football_069.txt,jdSTJXhXVDehX.txt
245,football_070.txt,tptPxEoiOLhBp.txt
246,football_071.txt,MHiQidcqofeJv.txt
247,football_072.txt,cFVaTRPgoGBVf.txt
248,football_073.txt,iTOAeZEdiHaKs.txt
249,football_074.txt,oOrAOmnPLdqrI.txt
250,football_075.txt,XZzYmREMwQoBk.txt
251,football_076.txt,DBcOnQoBggzvO.txt
252,football_077.txt,khXMEDBkSvBnV.txt
253,football_078.txt,EiqIOeXdILFoi.txt
254,football_079.txt,KCkdEEDOEoXNA.txt
255,football_080.txt,uDWskYtOkPfTQ.txt
256,football_081.txt,yWRHhOQRjTVOT.txt
257,football_082.txt,tsOchJMcBXhUh.txt
258,football_083.txt,cJIHuVhPLKAuO.txt
259,football_084.txt,gswlJlOpWQejT.txt
260,football_085.txt,gEoeZZkUYjqrs.txt
261,football_086.txt,PjgOorPfwnpLL.txt
262,football_087.txt,aEjAmJynrVqJS.txt
263,football_088.txt,datrPqwAxOesr.txt
264,football_089.txt,kNOJzpEuyUsQQ.txt
265,football_090.txt,DoseuQpXyYVgz.txt
266,football_091.txt,aeRLvzeqiIpag.txt
267,football_092.txt,jXyaWALFDRrLN.txt
268,football_093.txt,QJueTvirbVPpl.txt
269,football_094.txt,XLxKwRGAvNrTO.txt
270,football_095.txt,kSTiGBVBrPgih.txt
271,football_096.txt,bPWqdvIZatJPz.txt
272,football_097.txt,LljeDcyWBsALp.txt
273,football_098.txt,AznWksEFgdfRG.txt
274,football_099.txt,tCVQlReHkbPwG.txt
275,politics_001.txt,mMOpUjXnbVQcY.txt
276,politics_002.txt,mGKEjUfYCFjBL.txt
277,politics_003.txt,HjnpGRWfnbgIc.txt
278,politics_004.txt,scsBRrkThUcHZ.txt
279,politics_005.txt,gQPZNnzxkPsMw.txt
280,politics_007.txt,cFvVcuAiFLoGM.txt
281,politics_008.txt,qcRaaQOFyvhXi.txt
282,politics_009.txt,zUhUngXMHEcoh.txt
283,politics_010.txt,keDudZgWtBtAK.txt
284,politics_011.txt,vhbsaoxzsaGcf.txt
285,politics_012.txt,TvcAMMdgiYDvc.txt
286,politics_013.txt,cWGUvEnuzlGCN.txt
287,politics_015.txt,rJPYixfiojiyK.txt
288,politics_016.txt,flOywtAbzLAlc.txt
289,politics_017.txt,oiEcNJIvbwAmd.txt
290,politics_018.txt,wRPknvYMsSDur.txt
291,politics_019.txt,elQzLQLiAWQpN.txt
292,politics_020.txt,vGxpQAHfHxQpe.txt
293,politics_021.txt,hrzALqOqKHrfq.txt
